units = {
navy = {
		name = "Nord Flotte"
		base = 241
		location = 241  # Wilhemshaven
		ship = { name = "Graf Spee" definition = heavy_cruiser  equipment = { GER_heavy_cruiser_1 = { amount = 1 owner = GER } } }
		ship = { name = "Admiral Hipper" definition = heavy_cruiser equipment = { GER_heavy_cruiser_2 = { amount = 1 owner = GER } } }

		ship = { name = "Z1" definition = destroyer equipment = { GER_destroyer_2 = { amount = 1 owner = GER } } }
		ship = { name = "Z2" definition = destroyer equipment = { GER_destroyer_2 = { amount = 1 owner = GER } } }
		ship = { name = "Z3" definition = destroyer equipment = { GER_destroyer_2 = { amount = 1 owner = GER } } }
		ship = { name = "Z4" definition = destroyer equipment = { GER_destroyer_2 = { amount = 1 owner = GER } } }
		
		ship = { name = "Z5" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z6" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z7" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z9" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z10" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z11" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z12" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z13" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z14" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z15" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		ship = { name = "Z16" definition = destroyer equipment = { GER_destroyer_2b = { amount = 1 owner = GER } } }
		}
		
		navy = {
		name = "Unterseebootsflottille 2"
		base = 6389
		location = 6389  # Kiel
		
		ship = { name = "U-14" definition = coastal_submarine equipment = { coastal_submarine_2 = { amount = 1 owner = GER version_name = "Type IIB" } } }
		ship = { name = "U-16" definition = coastal_submarine equipment = { coastal_submarine_2 = { amount = 1 owner = GER version_name = "Type IIB" } } }
		ship = { name = "U-18" definition = coastal_submarine equipment = { coastal_submarine_2 = { amount = 1 owner = GER version_name = "Type IIB" } } }
		ship = { name = "U-15" definition = coastal_submarine equipment = { coastal_submarine_2 = { amount = 1 owner = GER version_name = "Type IIB" } } }
		ship = { name = "U-20" definition = coastal_submarine equipment = { coastal_submarine_2 = { amount = 1 owner = GER version_name = "Type IIB" } } }
		ship = { name = "U-19" definition = coastal_submarine equipment = { coastal_submarine_2 = { amount = 1 owner = GER version_name = "Type IIB" } } }
		
		ship = { name = "U-25" definition = patrol_submarine equipment = { patrol_submarine_0 = { amount = 1 owner = GER version_name = "Type IA" } } }
		ship = { name = "U-26" definition = patrol_submarine equipment = { patrol_submarine_0 = { amount = 1 owner = GER version_name = "Type IA" } } }
		
		ship = { name = "U-27" definition = patrol_submarine equipment = { patrol_submarine_1 = { amount = 1 owner = GER version_name = "Type VIIA" } } }
		ship = { name = "U-28" definition = patrol_submarine equipment = { patrol_submarine_1 = { amount = 1 owner = GER version_name = "Type VIIA" } } }
		ship = { name = "U-33" definition = patrol_submarine equipment = { patrol_submarine_1 = { amount = 1 owner = GER version_name = "Type VIIA" } } }
		ship = { name = "U-34" definition = patrol_submarine equipment = { patrol_submarine_1 = { amount = 1 owner = GER version_name = "Type VIIA" } } }
	}
	
}


